Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
3	43	C:\Hannah's FYP\Black28_smi.jpg		1	forehead		2	112	689	1	1
3	44	C:\Hannah's FYP\Black34_smi.jpg		1	eyes		2	122	957	1	1
3	45	C:\Hannah's FYP\Black44_smi.jpg		1	nose		2	132	374	2	0
3	46	C:\Hannah's FYP\White39_smi.jpg		2	eyes		2	222	511	1	1
3	47	C:\Hannah's FYP\White31_smi.jpg		2	forehead		2	212	1692	2	0
3	48	C:\Hannah's FYP\Black17_smi.jpg		1	nose		1	131	509	2	1
3	49	C:\Hannah's FYP\Black1_smi.jpg		1	forehead		1	111	386	2	1
3	50	C:\Hannah's FYP\White18_smi.jpg		2	nose		1	231	691	1	0
3	51	C:\Hannah's FYP\Black10_smi.jpg		1	eyes		1	121	656	1	0
3	52	C:\Hannah's FYP\White44_smi.jpg		2	nose		2	232	486	1	1
3	53	C:\Hannah's FYP\White5_smi.jpg		2	forehead		1	211	643	1	0
3	54	C:\Hannah's FYP\Black6_smi.jpg		1	forehead		1	111	1273	1	0
3	55	C:\Hannah's FYP\White36_smi.jpg		2	eyes		2	222	757	2	0
3	56	C:\Hannah's FYP\Black25_smi.jpg		1	forehead		2	112	358	2	0
3	57	C:\Hannah's FYP\White48_smi.jpg		2	nose		2	232	929	2	0
3	58	C:\Hannah's FYP\Black23_smi.jpg		1	nose		1	131	348	1	0
3	59	C:\Hannah's FYP\White16_smi.jpg		2	eyes		1	221	463	2	1
3	60	C:\Hannah's FYP\Black26_smi.jpg		1	forehead		2	112	534	1	1
3	61	C:\Hannah's FYP\White28_smi.jpg		2	forehead		2	212	610	1	1
3	62	C:\Hannah's FYP\Black11_smi.jpg		1	eyes		1	121	5938	1	0
3	63	C:\Hannah's FYP\White30_smi.jpg		2	forehead		2	212	3517	2	0
3	64	C:\Hannah's FYP\Black20_smi.jpg		1	nose		1	131	600	2	1
3	65	C:\Hannah's FYP\Black22_smi.jpg		1	nose		1	131	384	1	0
3	66	C:\Hannah's FYP\White4_smi.jpg		2	forehead		1	211	2353	2	1
3	67	C:\Hannah's FYP\Black29_smi.jpg		1	forehead		2	112	390	1	1
3	68	C:\Hannah's FYP\White37_smi.jpg		2	eyes		2	222	824	2	0
